name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Jakarta,2023-02-04,30,25,27.6,37.4,25,30.8,24.6,84.6,0,0,0,,0,0,29.2,16.6,299.3,1007.5,51.1,6.6,204.7,17.8,6,10,2023-02-04T05:55:49,2023-02-04T18:17:19,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-02-05,33,25,28.6,39.2,25,31.3,23,73.5,0.968,100,4.17,rain,0,0,39.6,33.5,276.3,1007.4,47.8,7.2,237,20.5,8,10,2023-02-05T05:56:03,2023-02-05T18:17:15,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-02-06,32.1,26,28.9,36,26,32.2,23,71.6,0,0,0,,0,0,35.6,26.7,259.5,1007.7,56.3,6.8,270,23.2,9,10,2023-02-06T05:56:17,2023-02-06T18:17:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-07,30.7,25,27.5,36.8,25,30.8,24,81.8,0.031,100,4.17,rain,0,0,36.7,17.3,272.1,1008.1,53.7,6.5,202,17.4,9,10,2023-02-07T05:56:30,2023-02-07T18:17:06,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-08,31,23.7,27.1,36.2,23.7,29.6,24,84,62.66,100,20.83,rain,0,0,32,25.6,259.1,1008.7,61.5,7,167.7,14.6,8,10,2023-02-08T05:56:42,2023-02-08T18:17:00,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-09,31,24,27.1,35,24,28.8,22.7,77.3,9.948,100,4.17,rain,0,0,63,28.3,246,1008.6,48.7,6.8,193,16.7,8,10,2023-02-09T05:56:53,2023-02-09T18:16:53,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-10,31.3,24,27.5,36.2,24,29.5,23.4,79.4,0.04,100,8.33,rain,0,0,42.8,22.3,274,1007.5,56.9,7.1,220.4,19.1,8,10,2023-02-10T05:57:04,2023-02-10T18:16:45,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-11,29,24,27,35.6,24,29.7,24.8,88.3,43.985,100,25,rain,0,0,31,29.5,310.8,1008.4,76.8,5.8,96.3,8.2,4,10,2023-02-11T05:57:14,2023-02-11T18:16:37,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-02-12,28,23.9,25.1,31.3,23.9,25.5,23.5,90.6,24.699,100,33.33,rain,0,0,38.2,27.7,247.4,1010.7,71.1,6.2,62.6,5.4,3,10,2023-02-12T05:57:23,2023-02-12T18:16:27,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-02-13,30.7,24,27,34.7,24,29.1,23.8,83.4,5.215,100,8.33,rain,0,0,48.2,28.3,238.3,1009.9,52.3,6.7,206.6,17.9,8,10,2023-02-13T05:57:32,2023-02-13T18:16:17,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-14,30.6,24,26.8,34.8,24,28.3,23.4,82.6,0.02,100,20.83,rain,0,0,48.2,30.5,239.3,1009.1,58.1,6.9,208.1,17.9,6,10,2023-02-14T05:57:40,2023-02-14T18:16:06,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
